"car_id","car_make","car_model","car_gears","car_fuel_type","car_transmission_type"
fbfcf0e0a2e5949a9f7c0ad35f798506,CHRYSLER,"200","9",Unknown,Automatic
"6d2eb2a6f38374886ecfd9553e2611da",BMW,"320i","8",Unknown,Automatic
"3db49e0e7e1b4033da1c0651567d28d3",BMW,"320i","8",Unknown,Automatic
c59e966b17b9d1a804dd2605d68e3a4f,BMW,"320i","8",Unknown,Automatic
fe46e6df1a9588fddb3e0c6e2a9adec6,BMW,"320i","8",Unknown,Automatic
"6edc491156bf7e44df79f03c78a62bc1",BMW,"428i Coupe","8",Unknown,Automatic
"805b9b06e5f1835fada2cec8513e2a69",FIAT,"500","5",DIESEL,Manual
bd930c2787978c3f5f6bca8103c61c08,FIAT,"500","5",DIESEL,Manual
"0e250cd490277d88332aacd068592dd5",FIAT,"500","5",DIESEL,Manual
e5c1d7e95726724afb54837c846f0a88,FIAT,"500","5",DIESEL,Manual
"0c6280ecf438e6bd026209694cfab01d",FIAT,"500","5",DIESEL,Manual
e4038263d4632f36996022d62a3a9eae,FIAT,"500","5",DIESEL,Manual
e74eb7613d9b7a7444edb462780a64ce,FIAT,"500","5",DIESEL,Manual
ee90c85271e6ca360763b1789b89d810,FIAT,"500","5",GASOLINE,Manual
"5410ed08091ad57b21cca2410ff1baf7",FIAT,"500","5",GASOLINE,Manual
"2cf58fb179236e5de7ee52d94577114f",FIAT,"500","5",GASOLINE,Manual
"4efb5fe86b86d79b74dd6976067d0dc2",FIAT,"500","5",Unknown,Manual
"0bceb069226f4afa048b5be3d54b6fc9",FIAT,"500","5",Unknown,Manual
"9646eb6326210cbf820b445e92b0d146",FIAT,"500","5",Unknown,Manual
fe07a38e973690e9251d1d6410d07191,FIAT,"500","5",Unknown,Manual
"5c57e09175e12b5512fb7790ae77cd4c",FIAT,"500","5",Unknown,Manual
"76b81f69debce6758436a390749220e4",FIAT,"500","5",Unknown,Manual
"0beb16aa99fbfc9d3abb032b54909ff7",FIAT,"500","5",Unknown,Manual
"5257cb1e491638ee7f86d7801a905910",FIAT,"500","5",Unknown,Manual
c5058d28004898684b3cd3127891554e,FIAT,"500","5",Unknown,Manual
"107e6223bc9fc45c1b9a38a0d21b280b",BMW,"528i","8",Unknown,Semi-Automatic
"017e012ac1d33211df5f2728193ebdc0",BMW,"535i","8",Unknown,Semi-Automatic
